Diet	Korean	Korean	Korean	Korean	Korean	Korean	Western	Western	Western	Western	Western	Western
Christiangramia echinicola	0	0	6	0	0	16	0	0	0	0	8	0
Kordia algicida	0	0	10	0	0	0	0	0	59	0	0	0
Formosa agariphila	0	0	11	0	0	0	0	0	0	0	0	0
Olleya sp. YS	0	0	9	0	0	0	0	0	19	0	0	0
Candidatus Karelsulcia muelleri	0	0	6	0	0	0	6	0	0	0	0	0
Sphingobacterium sp. BN32	0	0	8	0	0	0	0	0	10	5	0	0
Sphingobacterium sp. E70	0	0	9	0	0	0	0	0	0	0	0	0
Sphingobacterium detergens	0	0	13	12	0	45	0	0	0	8	0	0
Sphingobacterium spiritivorum	0	0	5	0	6	6	12	0	0	10	0	0
Mucilaginibacter jinjuensis	0	0	8	6	5	0	26	12	0	0	0	0
Chondrinema litorale	0	0	11	35	0	0	0	0	0	8	0	0
Persicobacter psychrovividus	0	0	5	0	0	15	137	37	5	11	14	70
Phaeodactylibacter xiamenensis	0	0	6	17	11	9	60	229	0	5	9	0
Ignavibacterium sp.	0	0	5	6	0	10	0	0	20	0	0	0
Raoultella ornithinolytica	0	0	188	0	0	0	95	28	0	0	0	464
Blochmannia endosymbiont of Camponotus nipponensis	0	0	15	0	0	0	0	0	0	0	0	0
[Enterobacter] lignolyticus	0	0	7	7	8	10	9	21	0	0	15	0
Dryocola sp. BD613	0	0	5	0	0	6	0	0	176	58	0	0
Superficieibacter sp. HKU1	0	0	5	7	0	0	0	0	0	0	0	0
Candidatus Riesia pediculicola	0	0	5	0	0	0	0	0	0	0	0	0
Pantoea sp. App145	0	0	18	0	0	0	0	0	0	0	0	0
Pantoea agglomerans	0	0	10	21	0	0	0	16	0	0	0	12
Edwardsiella piscicida	0	0	37	0	0	0	0	0	0	0	0	0
Vibrio sp. YMD68	0	0	24	19	0	45	0	0	0	12	0	0
Vibrio sp. SS-MA-C1-2	0	0	5	5	0	0	0	0	0	0	0	0
Vibrio campbellii	0	0	18	0	0	0	31	0	74	58	0	43
uncultured Vibrio sp.	0	0	14	0	0	0	0	0	0	0	0	0
Vibrio rumoiensis	0	0	6	7	0	27	0	0	0	9	0	0
Vibrio vulnificus	0	0	5	0	33	0	48	21	0	0	0	8
Aliivibrio logei	0	0	9	0	0	0	0	0	0	0	0	0
Ferrimonas sp. SCSIO 43195	0	0	162	306	0	0	6	0	0	0	0	0
Shewanella amazonensis	0	0	7	11	0	0	0	0	0	0	0	13
Shewanella denitrificans	0	0	5	0	0	0	0	0	0	0	0	0
Marinobacter apostichopi	0	0	16	18	0	0	0	0	0	0	0	0
Halomonas litopenaei	0	0	37	44	0	0	0	0	0	0	0	0
Aliikangiella sp. IMCC44359	0	0	6	0	0	0	0	0	0	0	0	0
Acinetobacter baumannii	0	0	21	0	0	0	0	0	0	261	0	0
Acinetobacter pittii	0	0	11	0	0	32	26	0	98	34	0	0
Francisella sp. LA112445	0	0	22	7	0	0	0	0	7	0	0	0
Francisella frigiditurris	0	0	7	0	0	0	0	0	0	0	0	0
Francisella uliginis	0	0	6	0	0	0	13	0	0	0	0	0
Legionella pneumophila	0	0	15	0	0	0	0	0	0	0	0	0
Legionella clemsonensis	0	0	10	0	0	0	0	0	0	0	0	0
Legionella sp. PC1000	0	0	5	7	0	0	0	0	0	0	0	0
Aquicella lusitana	0	0	10	7	0	11	0	0	0	0	0	0
Aeromonas veronii	0	0	24	60	20	11	0	0	0	0	26	42
Simiduia sp. 21SJ11W-1	0	0	15	0	0	0	0	0	0	0	0	0
Microbulbifer sp. MCCC 1A16149	0	0	9	14	0	0	0	9	0	0	0	0
Oceanicoccus sagamiensis	0	0	9	10	0	0	0	0	0	0	0	0
Halothiobacillus diazotrophicus	0	0	9	0	0	0	0	0	0	8	0	0
Wenzhouxiangella sp. AB-CW3	0	0	7	0	0	0	0	0	0	0	0	0
Orbus wheelerorum	0	0	7	0	0	0	0	0	0	0	0	0
Abyssogena phaseoliformis symbiont	0	0	6	7	0	0	22	7	16	20	0	0
Bartonella clarridgeiae	0	0	11	11	8	0	0	8	0	0	0	16
Devosia algicola	0	0	6	0	0	0	26	142	0	0	0	0
Erythrobacter litoralis	0	0	22	15	0	0	0	0	0	0	0	0
Sphingomonas sp. MM-1	0	0	8	0	0	0	0	0	0	0	0	0
Sphingobium baderi	0	0	15	28	0	60	41	75	0	0	0	0
Kordiimonas sp. SCSIO 12603	0	0	24	0	5	0	0	0	0	0	0	0
Candidatus Pelagibacter bacterium nBUS_33	0	0	13	0	0	0	0	0	0	0	0	0
Polynucleobacter difficilis	0	0	6	0	0	0	0	0	0	0	0	0
Comamonas testosteroni	0	0	10	0	0	0	0	0	0	0	0	0
Neisseria zalophi	0	0	14	0	0	0	0	0	0	0	5	0
Deefgea tanakiae	0	0	12	0	0	0	0	0	0	0	0	0
Denitratisoma oestradiolicum	0	0	16	0	0	0	0	0	0	0	9	25
Azoarcus sp. DD4	0	0	7	0	0	0	0	0	0	0	0	0
Candidatus Kinetoplastidibacterium stringomonadis	0	0	6	0	0	0	0	0	0	0	0	0
Desulfovibrio fairfieldensis	0	0	20	33	8	187	8	7	8	0	7	0
Desulfovibrio desulfuricans	0	0	7	16	0	0	10	18	0	0	0	8
Desulfovibrio aminophilus	0	0	10	46	0	0	0	0	0	11	14	0
Candidatus Desulfovibrio trichonymphae	0	0	5	11	0	0	0	0	0	0	0	0
uncultured Mailhella sp.	0	0	93	290	38	14	73	108	5	12	8	10
Maridesulfovibrio hydrothermalis	0	0	6	0	0	0	21	5	5	0	0	0
Lawsonia intracellularis	0	0	14	26	0	0	0	0	0	0	0	5
Nitratidesulfovibrio sp. HK-II	0	0	7	22	0	0	0	0	0	0	0	0
Taurinivorans muris	0	0	5	0	0	5	0	37	0	0	12	16
Halodesulfovibrio aestuarii	0	0	5	5	0	13	6	0	0	9	0	0
Thermodesulfobacterium sp. TA1	0	0	8	0	0	0	0	0	0	0	0	0
Treponema sp. OMZ 906	0	0	33	0	0	0	0	0	0	0	0	0
Treponema sp. OMZ 788	0	0	8	0	0	0	0	0	0	0	0	0
Brucepastera parasyntrophica	0	0	17	8	18	9	12	0	0	0	0	0
Gracilinema caldarium	0	0	9	0	0	0	0	0	0	0	5	7
Brachyspira murdochii	0	0	123	28	0	8	0	0	0	7	0	0
Brachyspira pilosicoli	0	0	110	47	36	673	6	0	67	56	19	0
Leptospira santarosai	0	0	27	0	0	21	12	0	5	0	0	0
Campylobacter coli	0	0	26	59	207	26	12	8	30	21	84	22
Campylobacter curvus	0	0	7	0	0	0	0	0	0	0	0	0
Campylobacter insulaenigrae	0	0	7	0	0	0	0	5	0	0	0	0
Aliarcobacter lanthieri	0	0	30	0	0	0	0	0	0	0	0	0
Aliarcobacter butzleri	0	0	5	0	0	0	10	13	0	15	35	22
Arcobacter ellisii	0	0	21	0	0	0	0	0	0	0	0	0
Arcobacter sp. 15-2	0	0	6	0	0	36	0	0	0	0	0	0
Malaciobacter canalis	0	0	15	0	0	0	0	0	0	0	0	0
Poseidonibacter lekithochrous	0	0	6	0	0	8	0	0	0	0	0	0
Sulfurimonas aquatica	0	0	34	0	0	0	0	0	0	0	0	0
Sulfurimonas autotrophica	0	0	15	0	0	0	8	7	0	16	0	0
Sulfurimonas denitrificans	0	0	14	11	0	18	0	0	0	0	0	0
Nitrosophilus alvini	0	0	11	11	0	0	0	0	0	0	0	0
Nitrosophilus kaiyonis	0	0	6	0	0	0	0	0	0	0	0	0
Hippea maritima	0	0	21	10	0	0	0	0	0	0	0	0
Chlamydia pneumoniae	0	0	21	0	0	5	0	0	0	0	0	0
Chlamydia serpentis	0	0	6	0	0	0	0	0	0	0	0	0
Candidatus Neptunichlamydia sp. REUL1	0	0	10	0	0	0	0	0	31	0	0	0
Tichowtungia aerotolerans	0	0	5	0	0	0	0	0	0	0	8	0
Fluviispira sanaruensis	0	0	11	0	0	0	0	0	0	0	0	0
Bacteriovorax stolpii	0	0	5	0	0	0	0	0	0	0	0	0
Dictyoglomus turgidum	0	0	20	0	0	0	0	0	0	0	0	0
Elusimicrobium posterum	0	0	8	13	0	28	16	0	506	60	0	8
Thermatribacter velox	0	0	5	0	0	0	0	0	0	0	0	0
Candidatus Epulonipiscium viviparus	0	0	25	0	0	8	6	11	60	21	0	0
Cellulosilyticum lentocellum	0	0	34	0	0	0	0	22	0	0	0	17
Acetivibrio clariflavus	0	0	13	8	7	13	11	7	10	13	0	22
Clostridium sp. 001	0	0	72	0	0	0	0	0	21	14	0	0
Clostridium sp. BNL1100	0	0	7	34	7	14	9	16	20	21	0	0
Clostridium tagluense	0	0	39	0	0	38	5	5	0	5	0	7
Clostridium scatologenes	0	0	33	0	0	0	0	0	9	0	0	0
Clostridium carboxidivorans	0	0	11	0	0	0	0	0	5	0	0	0
Crassaminicella indica	0	0	7	0	0	20	10	25	7	14	0	0
Candidatus Arthromitus sp. SFB-rat-Yit	0	0	12	0	0	24	10	14	0	0	0	50
Fenollaria sporofastidiosus	0	0	19	0	23	12	44	21	0	0	0	0
Proteinivorax tanatarense	0	0	9	0	0	0	0	0	0	0	0	0
Clostridioides sp. ES-S-0054-01	0	0	47	0	5	95	20	99	0	0	10	15
Sinanaerobacter sp. ZZT-01	0	0	18	0	14	7	0	7	24	27	0	30
Acetoanaerobium noterae	0	0	49	0	0	0	43	0	0	0	0	0
Alkaliphilus metalliredigens	0	0	7	0	0	0	0	7	0	0	0	0
Serpentinicella alkaliphila	0	0	5	0	0	16	7	7	9	0	0	0
Geosporobacter ferrireducens	0	0	8	7	8	7	10	9	8	0	15	21
Peptoclostridium acidaminophilum	0	0	5	16	0	13	9	6	6	24	5	8
Thermoanaerobacterium sp. RBIITD	0	0	14	17	8	7	78	25	0	7	13	0
Halothermothrix orenii	0	0	7	11	0	0	0	0	0	5	0	10
Streptococcus alactolyticus	0	0	599	296	0	0	8	5	0	0	0	5
Streptococcus acidominimus	0	0	33	90	0	13	0	300	0	0	28	0
Streptococcus pyogenes	0	0	36	38	0	76	0	163	59	8	286	145
Streptococcus dysgalactiae	0	0	71	41	85	0	0	0	0	0	132	21
Streptococcus pluranimalium	0	0	11	0	0	6	0	0	5	9	5	0
Streptococcus porcinus	0	0	10	0	0	0	11	0	7	0	6	0
Streptococcus suivaginalis	0	0	8	0	0	0	0	0	0	0	6	0
Streptococcus pseudoporcinus	0	0	8	0	0	0	0	0	0	0	115	13
Streptococcus uberis	0	0	5	0	0	0	0	0	0	0	0	0
Enterococcus avium	0	0	5	0	0	6	0	17	0	0	0	8
Vagococcus zengguangii	0	0	12	8	0	9	5	0	0	0	0	0
Vagococcus teuberi	0	0	7	0	0	0	0	0	0	0	0	0
Tetragenococcus osmophilus	0	0	6	9	0	9	0	0	0	0	0	0
Ligilactobacillus murinus	0	0	5	0	0	9	74	24	20	13	427	103
Ligilactobacillus acidipiscis	0	0	5	0	7	0	6	0	0	0	0	0
Lactobacillus helveticus	0	0	31	0	20	14	0	10	25	35	0	0
Lactobacillus terrae	0	0	15	13	0	24	0	0	0	0	0	0
Lactobacillus acidophilus	0	0	9	0	0	0	0	0	234	10	4233	1353
Companilactobacillus zhachilii	0	0	24	0	0	9	0	0	0	0	0	0
Paucilactobacillus nenjiangensis	0	0	21	7	0	0	0	0	0	0	0	0
Liquorilactobacillus nagelii	0	0	7	11	0	15	0	0	0	0	0	0
Lactiplantibacillus plantarum	0	0	11	0	0	24	0	46	96	123	48	87
Oenococcus alcoholitolerans	0	0	9	0	0	6	0	0	0	0	0	0
Carnobacterium sp.	0	0	5	0	0	0	0	0	0	0	0	0
Carnobacterium sp. 17-4	0	0	5	0	0	12	0	0	0	0	0	0
Carnobacterium inhibens	0	0	8	0	27	0	0	0	0	0	0	0
Aerococcus christensenii	0	0	7	18	0	0	0	7	0	0	0	0
Oceanobacillus iheyensis	0	0	348	267	0	0	0	0	0	0	0	0
Oceanobacillus kimchii	0	0	9	0	0	11	0	0	0	0	0	0
Bacillus cytotoxicus	0	0	28	8	0	0	0	13	0	0	0	0
Bacillus mycoides	0	0	15	0	8	109	0	8	12	11	11	15
Bacillus toyonensis	0	0	23	0	0	0	0	0	130	17	0	0
Bacillus sp. Cs-700	0	0	13	0	28	32	28	29	0	0	0	0
Bacillus sp. FJAT-22090	0	0	7	0	0	0	24	20	0	0	0	0
Bacillus haimaensis	0	0	7	8	0	0	0	5	0	0	0	0
Neobacillus sp. PS3-40	0	0	24	18	0	32	0	7	58	8	0	0
Neobacillus drentensis	0	0	9	0	0	0	0	0	0	6	0	0
Cytobacillus dafuensis	0	0	17	19	6	28	0	11	9	0	0	0
Cytobacillus gottheilii	0	0	13	0	0	9	0	11	0	0	0	9
Virgibacillus sp. Bac330	0	0	16	19	0	0	0	0	0	0	0	0
Virgibacillus necropolis	0	0	7	0	0	0	0	0	0	0	0	0
Rossellomorea sp. FM04394	0	0	8	0	0	0	0	0	0	0	0	0
Rossellomorea marisflavi	0	0	9	14	0	9	0	0	0	0	0	0
Peribacillus psychrosaccharolyticus	0	0	14	0	0	14	41	20	0	0	0	0
Heyndrickxia coagulans	0	0	27	43	30	0	0	0	0	0	0	0
Alkalihalobacillus sp. LMS6	0	0	7	0	0	8	0	0	0	0	0	6
Ectobacillus sp. JY-23	0	0	9	0	0	0	6	0	0	0	0	0
Ornithinibacillus sp. FSL M8-0202	0	0	8	0	0	12	0	0	0	0	0	0
Alkalihalophilus sp. As8PL	0	0	8	0	0	0	0	0	0	0	0	0
Paenibacillus sp. FSL W7-1088	0	0	69	181	0	124	0	0	0	0	0	0
Paenibacillus sp. S-38	0	0	8	0	0	0	0	0	0	0	0	0
Paenibacillus sp. FSL R5-0766	0	0	19	0	0	0	0	0	0	0	0	0
Paenibacillus sp. FSL W8-0194	0	0	5	9	0	0	0	8	0	0	0	0
Paenibacillus sp. FSL R7-0345	0	0	5	8	0	5	10	9	0	0	5	0
Paenibacillus glycanilyticus	0	0	14	15	0	6	8	12	7	13	0	0
Paenibacillus thiaminolyticus	0	0	10	0	0	0	0	10	8	7	0	0
Paenibacillus borealis	0	0	8	8	0	10	0	0	0	0	0	0
Paenibacillus amylolyticus	0	0	13	26	26	0	49	17	15	0	0	10
Cohnella abietis	0	0	12	12	7	0	0	0	14	0	0	0
Sporosarcina sp. FSL K6-1522	0	0	29	0	0	6	0	33	0	0	0	0
Sporosarcina pasteurii	0	0	18	0	0	15	0	0	0	0	0	0
Sporosarcina jeotgali	0	0	12	0	0	0	0	0	0	0	0	13
Staphylococcus felis	0	0	9	0	0	0	0	0	0	0	0	0
Staphylococcus agnetis	0	0	7	8	0	6	0	0	0	0	0	0
Macrococcus armenti	0	0	6	7	15	0	0	0	0	0	0	0
Macrococcus equi	0	0	6	0	0	41	0	0	0	0	0	0
Mammaliicoccus stepanovicii	0	0	5	0	0	42	0	0	8	11	0	0
Macrococcoides canis	0	0	14	0	0	0	6	0	0	0	0	0
Gemella sp. oral taxon 928	0	0	47	121	0	0	0	0	0	0	0	0
Brochothrix thermosphacta	0	0	41	38	8	0	10	0	0	0	66	9
Tumebacillus avium	0	0	9	17	0	0	7	0	0	0	0	0
Fictibacillus sp. KU28468	0	0	6	12	0	0	7	10	0	0	0	0
Guptibacillus hwajinpoensis	0	0	10	0	19	15	10	13	0	0	12	0
Megasphaera sueciensis	0	0	17	8	0	9	0	7	0	0	8	122
Pectinatus haikarae	0	0	8	0	0	19	47	22	11	0	0	24
Anaerococcus sp. Marseille-Q7828	0	0	16	0	8	14	8	0	0	16	0	0
Anaerococcus sp. AH8042_DFU013_CI05	0	0	8	0	0	18	0	0	6	0	0	0
Miniphocaeibacter halophilus	0	0	8	13	0	14	0	0	0	10	16	6
Sporanaerobacter sp.	0	0	15	0	0	0	0	7	0	0	26	23
Sedimentibacter sp. MB35-C1	0	0	40	0	37	47	71	0	27	0	0	0
Sedimentibacter sp. MB31-C6	0	0	5	0	0	10	8	8	0	0	29	0
Ezakiella massiliensis	0	0	16	0	12	29	0	0	0	0	0	0
Ndongobacter massiliensis	0	0	5	0	0	17	0	0	7	0	16	29
endosymbiont 'TC1' of Trimyema compressum	0	0	5	0	0	0	0	0	0	0	0	10
Actinoplanes friuliensis	0	0	171	119	0	0	0	0	0	0	0	0
Micromonospora ureilytica	0	0	10	0	0	0	0	0	0	0	0	0
Streptomyces sp. NBC_01750	0	0	60	0	0	0	0	0	0	0	0	0
Streptomyces liliifuscus	0	0	20	0	0	11	0	0	0	0	0	16
Pseudarthrobacter sp. BIM B-2242	0	0	5	0	0	0	0	0	0	0	0	0
Microbacterium terricola	0	0	8	0	0	0	11	23	0	0	0	0
Gordonia pseudamarae	0	0	6	0	7	0	0	16	0	7	24	9
Cutibacterium acnes	0	0	5	10	0	0	0	0	0	0	12	0
Phoenicibacter congonensis	0	0	10	18	10	12	8	14	36	28	28	25
Spiroplasma endosymbiont of Stenodema calcarata	0	0	14	0	0	0	0	0	0	0	0	0
Spiroplasma sp. SV19	0	0	9	0	0	0	0	0	0	0	0	14
Spiroplasma sp. TIUS-1	0	0	6	0	0	0	0	0	0	0	0	0
Spiroplasma corruscae	0	0	9	0	0	66	0	0	0	0	0	0
Mesoplasma syrphidae	0	0	18	0	0	0	0	0	0	0	0	0
Mesoplasma lactucae	0	0	9	0	0	7	0	0	0	0	0	0
Acholeplasma palmae	0	0	5	0	0	0	9	8	162	92	0	0
Haploplasma axanthum	0	0	7	0	0	44	15	0	7	0	0	0
Mariniplasma anaerobium	0	0	6	0	38	0	0	0	9	0	0	0
Mycoplasmopsis adleri	0	0	20	0	0	0	0	0	0	0	0	0
Mycoplasmopsis felis	0	0	23	6	0	0	0	0	12	32	0	20
Mycoplasmopsis canis	0	0	13	0	0	0	0	0	0	0	0	0
Mesomycoplasma neurolyticum	0	0	6	0	0	0	0	0	0	0	0	0
Nostoc sp. C117	0	0	84	70	0	0	0	0	0	0	0	0
Altericista sp. CCNU0014	0	0	7	9	0	22	0	0	0	6	0	0
Rippkaea orientalis	0	0	17	0	0	7	0	0	0	0	0	0
Roseiflexus castenholzii	0	0	5	0	9	5	10	8	0	0	7	6
Roseiflexus sp. RS-1	0	0	5	0	0	0	0	0	0	0	0	0
Fusobacterium gonidiaformans	0	0	13	18	0	52	0	0	0	47	0	0
Fusobacterium sp. SB021	0	0	10	15	257	6	0	80	315	95	6	176
Fusobacterium polymorphum	0	0	24	34	0	10	0	9	0	24	45	61
uncultured Ilyobacter sp.	0	0	17	0	11	50	37	0	8	24	0	6
Sebaldella termitidis	0	0	56	0	9	0	0	9	0	0	5	0
Aminobacterium sp. MB27-C1	0	0	15	6	7	6	50	18	0	0	0	8
Athalassotoga saccharophila	0	0	5	0	0	0	0	0	0	0	0	0
Deinococcus puniceus	0	0	5	17	0	0	0	0	0	0	0	0
Candidatus Southlakia epibionticum	0	0	9	7	0	0	0	0	0	0	0	0
Candidatus Saccharimonas aalborgensis	0	0	5	19	0	0	0	0	0	0	0	0
Methanosarcina flavescens	0	0	7	7	0	0	0	0	0	0	0	0
Methanolobus mangrovi	0	0	7	0	0	0	0	0	0	0	0	0
Candidatus Methanoplasma termitum	0	0	5	0	0	0	0	0	0	0	0	0
Jahgtovirus secundus	0	0	3973	5727	696	0	0	0	0	0	0	0
Jahgtovirus intestinihominis	0	0	3563	4758	1086	0	0	0	0	0	33	13
Carjivirus communis	0	0	8	0	50299	10245	0	10834	9176	0	0	0
Afonbuvirus intestinihominis	0	0	6712	26728	0	0	299	323	765	0	0	0
Afonbuvirus faecalis	0	0	5939	23044	0	0	292	253	322	0	0	0
Afonbuvirus coli	0	0	2926	10922	0	0	154	208	176	0	0	0
Buchavirus copri	0	0	1064	1655	0	0	0	0	372	841	0	0
Buchavirus splanchnicus	0	0	306	422	0	0	0	0	59	128	17	0
Buchavirus oralis	0	0	244	392	0	0	0	0	45	90	0	0
Buchavirus hiberniae	0	0	144	250	0	0	0	0	39	62	0	0
Buchavirus coli	0	0	132	201	0	0	0	0	19	68	0	0
Buchavirus faecalis	0	0	16	17	0	0	0	0	120	210	221	91
Buchavirus intestinalis	0	0	12	26	0	0	0	0	0	5	2085	0
Buchavirus hominis	0	0	11	15	0	0	0	0	7	6	0	0
Moineauvirus CHPC572	0	0	366	0	0	0	0	0	0	0	0	0
Clostridium phage phiSM101	0	0	87	60	0	0	0	0	0	0	0	0
Toutatisvirus toutatis	0	0	16	0	28	14	0	0	0	0	0	0
Capnocytophaga canimorsus	0	0	0	5	0	0	0	0	0	8	0	0
Flavobacterium sp. N2270	0	0	0	21	0	16	0	13	0	0	0	0
Flavobacterium sp. KBS0721	0	0	0	17	0	0	10	10	0	0	0	0
Sediminicola sp. YIK13	0	0	0	9	0	27	9	0	0	0	0	0
Chryseobacterium sp. 6424	0	0	0	6	0	0	0	0	0	0	0	0
Elizabethkingia meningoseptica	0	0	0	5	0	0	106	19	5	26	0	0
Hymenobacter qilianensis	0	0	0	10	0	0	0	0	11	10	6	42
Roseivirga pacifica	0	0	0	5	0	6	0	0	14	0	0	8
Sphingobacterium daejeonense	0	0	0	6	0	0	0	0	0	9	0	16
Pedobacter sp. AW31-3R	0	0	0	10	0	0	106	38	0	0	0	0
Pedobacter steynii	0	0	0	14	0	0	0	0	0	0	0	0
Gracilimonas sediminicola	0	0	0	7	0	8	0	0	0	0	0	0
Haemophilus pittmaniae	0	0	0	40	0	0	0	0	43	0	14	5
Haemophilus parahaemolyticus	0	0	0	6	0	0	0	0	44	26	0	0
Pasteurella dagmatis	0	0	0	5	0	0	0	0	7	9	0	0
Bisgaardia hudsonensis	0	0	0	5	0	20	0	0	28	21	0	0
Klebsiella variicola	0	0	0	787	19	0	0	528	0	0	0	168
Enterobacter kobei	0	0	0	95	0	0	46	0	0	0	0	119
Enterobacter asburiae	0	0	0	65	0	73	0	55	0	61	0	684
Kosakonia cowanii	0	0	0	25	0	0	0	0	0	0	0	60
Citrobacter cronae	0	0	0	34	0	0	0	0	0	0	0	0
Mangrovibacter phragmitis	0	0	0	13	0	0	17	6	9	0	0	0
Pantoea alhagi	0	0	0	7	0	0	0	0	0	0	0	0
Shewanella sediminis	0	0	0	14	0	0	0	9	0	0	0	0
Planctobacterium marinum	0	0	0	12	0	0	0	0	0	10	8	0
Pseudoalteromonas sp. T1lg65	0	0	0	12	0	0	0	0	0	0	0	0
Vibrio sp. MA40-2	0	0	0	9	0	0	0	0	0	0	0	0
Vibrio quintilis	0	0	0	8	0	0	0	0	6	0	0	0
Vibrio scophthalmi	0	0	0	6	0	0	0	0	0	0	0	0
Pseudomonas sp. 15A4	0	0	0	19	0	0	0	0	0	0	0	0
Aeromonas enteropelogenes	0	0	0	6	0	0	0	0	0	0	0	0
Coxiella-like endosymbiont	0	0	0	6	0	0	0	0	0	5	0	0
Microbulbifer sp. YPW16	0	0	0	7	0	0	0	0	0	0	0	0
Dyella sp. M7H15-1	0	0	0	6	0	0	0	0	0	0	0	0
Ensifer sp. PDNC004	0	0	0	19	0	0	0	0	0	0	0	0
Tardiphaga sp. 768_D3_N2_1	0	0	0	6	0	0	0	0	0	0	0	24
Brucella intermedia	0	0	0	25	29	0	121	42	0	0	0	0
Bosea vaviloviae	0	0	0	12	0	0	0	0	0	0	0	0
Salaquimonas pukyongi	0	0	0	10	0	0	0	0	0	0	0	0
Novosphingobium pentaromativorans	0	0	0	8	0	0	0	0	0	0	0	0
Phaeobacter gallaeciensis	0	0	0	12	0	0	0	0	0	0	0	0
Leisingera caerulea	0	0	0	6	0	0	0	0	0	0	34	0
Tateyamaria omphalii	0	0	0	5	0	0	0	7	0	0	8	6
Amylibacter sp. IMCC11727	0	0	0	7	0	0	0	12	0	0	0	18
Thalassospira indica	0	0	0	11	0	0	0	0	0	0	0	0
Thalassospira australica	0	0	0	9	89	14	0	27	0	0	0	0
Pelagibius sp.	0	0	0	9	0	13	6	0	0	5	0	0
Candidatus Pelagibacter sp. Uisw_134_02	0	0	0	10	0	0	29	0	10	6	0	0
Candidatus Pelagibacter sp. Uisw_106	0	0	0	14	0	0	0	0	0	0	0	0
Wolbachia endosymbiont (group A) of Epistrophe grossularia	0	0	0	8	48	0	21	31	0	14	0	0
Cupriavidus sp. WKF15	0	0	0	15	0	0	0	0	0	0	0	0
Limnobacter profundi	0	0	0	6	0	0	0	0	0	0	0	0
Simplicispira suum	0	0	0	8	0	0	0	0	0	0	0	0
Neisseria sp. Ec49-e6-T10	0	0	0	23	0	8	0	0	0	0	0	0
Candidatus Methylopumilus universalis	0	0	0	15	0	0	0	0	0	0	0	0
Methylotenera versatilis	0	0	0	6	0	6	9	0	0	0	0	0
Desulfovibrio mangrovi	0	0	0	9	0	0	0	0	0	0	0	6
Nitratidesulfovibrio liaohensis	0	0	0	11	0	0	0	0	0	0	8	0
Pseudodesulfovibrio aespoeensis	0	0	0	9	0	0	0	0	0	0	0	0
Maridesulfovibrio sp. FT414	0	0	0	6	0	6	0	0	0	0	0	0
Solidesulfovibrio sp. DCME	0	0	0	9	0	0	0	0	0	0	0	0
Salidesulfovibrio onnuriiensis	0	0	0	7	0	0	0	9	0	0	0	0
Oleidesulfovibrio alaskensis	0	0	0	6	0	0	0	0	0	0	0	0
Geobacter pickeringii	0	0	0	5	0	0	0	0	8	0	0	0
Geomonas diazotrophica	0	0	0	5	0	0	0	0	0	0	0	0
Desulfoglaeba alkanexedens	0	0	0	6	0	0	0	0	0	0	6	0
Treponema putidum	0	0	0	10	0	5	7	0	0	0	96	20
Candidatus Borrelia fainii	0	0	0	13	0	0	0	0	0	0	0	0
Sulfurimonas lithotrophica	0	0	0	9	0	0	0	0	0	0	0	0
Helicobacter cholecystus	0	0	0	5	0	0	0	0	0	0	0	0
Sulfurovum mangrovi	0	0	0	10	0	0	0	0	5	0	0	0
Sulfurospirillum sp. hDNRA2	0	0	0	11	0	10	0	0	0	0	0	0
Akkermansia glycaniphila	0	0	0	5	0	0	0	5	0	9	5	0
Botrimarina mediterranea	0	0	0	10	0	0	0	0	0	0	9	27
Candidatus Uabimicrobium amorphum	0	0	0	5	0	5	52	9	0	0	0	5
Labilithrix luteola	0	0	0	9	0	6	11	0	0	0	0	0
Bdellovibrio reynosensis	0	0	0	9	0	0	0	0	0	6	0	0
Clostridium sp. BJN0013	0	0	0	13	61	8	10	20	6	5	13	11
Clostridium drakei	0	0	0	7	0	0	0	17	6	0	0	0
Fusibacter sp. JL216-2	0	0	0	5	7	16	7	17	0	0	14	20
Desulfitobacterium dichloroeliminans	0	0	0	7	0	0	0	0	0	0	0	0
Acetohalobium arabaticum	0	0	0	7	0	16	13	17	7	7	5	0
Neomoorella glycerini	0	0	0	5	0	0	0	9	0	9	17	23
Enterococcus durans	0	0	0	10	0	52	8	0	0	0	0	0
Enterococcus sp. DIV0876	0	0	0	6	0	0	0	0	0	19	0	0
Leuconostoc garlicum	0	0	0	48	0	0	0	0	0	0	0	0
Leuconostoc lactis	0	0	0	10	8	12	11	22	8	69	0	0
Lactobacillus sp. PV012	0	0	0	10	0	0	0	0	0	0	0	35
Weissella viridescens	0	0	0	9	0	0	0	0	0	0	0	12
Weissella cibaria	0	0	0	10	69	0	0	0	0	5	27	510
Loigolactobacillus backii	0	0	0	21	0	11	0	0	0	0	0	0
Liquorilactobacillus hordei	0	0	0	5	0	0	0	11	0	0	0	0
Pediococcus pentosaceus	0	0	0	9	9	0	12	38	0	0	356	0
Jeotgalibaca ciconiae	0	0	0	11	100	14	0	0	0	0	0	5
Jeotgalibaca sp. MA1X17-3	0	0	0	7	0	0	0	0	0	7	0	0
Bacillus weihaiensis	0	0	0	62	0	12	0	0	0	0	0	0
Bacillus glycinifermentans	0	0	0	60	0	51	0	12	0	0	0	0
Bacillus sp. NEB1478	0	0	0	17	0	0	0	0	0	0	15	0
Bacillus atrophaeus	0	0	0	6	0	9	23	18	17	0	0	0
